"ticker","wind1","wind2","wind3","sw1","sw2","sw3","avg_price"
"601012.SH",2,22,6,27,75,15,69.22682025446753
"601021.SH",4,21,10,8,98,72,50.86685659105551
"601066.SH",1,18,49,28,79,147,26.08752511615895
"601088.SH",10,5,30,11,39,21,28.583539126719447
"601100.SH",4,10,20,19,2,156,59.20894268697625
"601111.SH",4,21,10,8,98,72,9.822676815822463
"601117.SH",5,19,0,18,107,192,9.890845829093697
"601138.SH",2,23,33,0,78,19,10.261893554447347
"601155.SH",7,20,17,6,51,69,27.10065806635884
"601166.SH",1,0,44,5,103,58,20.440066985963153
"601169.SH",1,0,44,5,76,83,4.509582052611943
"601186.SH",4,10,37,18,57,8,8.10722845282955
"601211.SH",1,18,49,28,79,147,16.087021052805145
"601216.SH",5,19,0,23,84,187,4.803857311104299
"601225.SH",10,5,30,11,39,21,16.65951772046249
"601229.SH",1,0,44,5,76,83,6.708442888879582
"601236.SH",1,18,49,28,79,147,9.722706349201038
"601238.SH",9,13,57,26,106,229,14.081362493235801
"601288.SH",1,0,44,5,5,157,3.004142770063528
"601318.SH",1,12,12,28,45,131,48.13909857244111
"601319.SH",1,12,12,28,45,131,4.764103837484381
"601328.SH",1,0,44,5,5,157,4.894378225961336
"601336.SH",1,12,12,28,45,131,33.91612408709459
"601360.SH",2,15,53,3,102,152,9.601207877643564
"601377.SH",1,18,49,28,79,147,7.526724364755405
"601390.SH",4,10,37,18,57,8,6.434603296526403
"601398.SH",1,0,44,5,5,157,4.680628140739438
"601600.SH",5,19,46,4,26,34,5.641268539427582
"601601.SH",1,12,12,28,45,131,24.01059230432599
"601615.SH",4,10,24,27,42,197,26.654493822217212
"601618.SH",4,10,37,18,107,96,3.8754881763906552
"601628.SH",1,12,12,28,45,131,28.06450201213501
"601633.SH",9,13,57,26,106,229,34.510025205265876
"601658.SH",1,0,44,5,5,157,5.3752671153700655
"601668.SH",4,10,37,18,80,74,5.512700917085694
"601669.SH",4,10,37,18,57,8,8.015902361194456
"601688.SH",1,18,49,28,79,147,15.235832528432853
"601689.SH",9,13,54,26,85,88,59.702374830400736
"601698.SH",8,3,5,1,92,166,11.894519792245072
"601728.SH",8,3,5,25,3,142,4.0241288240998285
"601766.SH",4,10,20,19,86,154,5.5162901606515415
"601788.SH",1,18,49,28,79,147,15.612634863910138
"601799.SH",9,13,54,26,85,94,150.686043058156
"601800.SH",4,10,37,18,57,8,9.615709538393917
"601808.SH",10,5,7,29,101,174,14.527826533037093
"601816.SH",4,21,11,8,90,121,4.88813321822046
"601818.SH",1,0,44,5,103,58,3.252169166027667
"601838.SH",1,0,44,5,76,83,15.25187606885085
"601857.SH",10,5,30,29,108,144,5.47024440658751
"601865.SH",5,19,35,27,75,57,43.789016494546395
"601868.SH",4,10,37,18,57,8,2.563892266405191
"601877.SH",4,10,24,27,31,126,39.33409187649385
"601878.SH",1,18,49,28,79,147,11.118450212235341
"601881.SH",1,18,49,28,79,147,9.885172238240207
"601888.SH",9,2,23,10,41,56,191.30691680431752
"601898.SH",10,5,30,11,39,21,8.524782006430657
"601899.SH",5,19,46,4,26,86,10.276650089499066
"601901.SH",1,18,49,28,79,147,6.894481822054678
"601919.SH",4,21,25,8,17,112,15.828177899023375
"601939.SH",1,0,44,5,5,157,6.036232554603718
"601966.SH",9,13,54,26,85,237,24.095718600429176
"601985.SH",6,4,1,12,20,222,7.316738471871782
"601988.SH",1,0,44,5,5,157,3.181052908500515
"601989.SH",4,10,55,1,25,45,3.838235566776755
"601995.SH",1,18,49,28,79,147,42.10669856203502
"601998.SH",1,0,44,5,103,58,4.784229916511367
"603019.SH",2,23,4,3,52,202,29.66074068839851
