,20,30,40,50,60,70,80
1,-128.01,-81.25,-38.9,0.0,13.05,67.18,117.99
2,-168.12,-103.71,-55.41,0.0,31.64,83.06,152.44
3,-144.47,-87.93,-44.45,0.0,27.36,72.38,133.17
4,-116.27,-73.35,-35.52,0.0,26.18,63.24,112.28
5,-154.26,-85.65,-70.6,0.0,0.0,76.6,139.91
6,-124.26,-71.97,-38.23,0.0,0.0,65.93,112.71
7,-135.58,-81.38,-43.79,0.0,20.25,68.38,118.32
8,-131.29,-78.0,-39.74,0.0,29.76,66.9,123.72
9,-90.97,-66.03,-25.73,0.0,0.0,58.81,90.31
10,-122.66,-65.65,-35.42,0.0,32.57,64.99,123.03
11,-152.79,-88.23,-51.09,0.0,29.42,70.16,140.51
