month,ret_window,up_bound,down_bound,up_win_rate,down_win_rate,up_mean_ret,down_mean_ret,up_signal_rate,down_signal_rate,weighted_ret,total_sample,zero_rate
202309,15s,0.5805618926971468,0.5917002177701249,0.6941005865124962,0.7191084020056973,0.00011807373225079223,-0.00011699819856181878,0.3949618434233048,0.39896812386393443,9.312568304685915e-05,17625.765486725664,0.4308652791201636
202310,15s,0.5811583227155893,0.5924423665394465,0.6930880589234085,0.7145291201894032,0.00013748891020980565,-0.0001375239559035543,0.3962506806337206,0.3861455658379337,0.00010735500914104547,15002.941704035875,0.397774220914579
202311,15s,0.5794433714693893,0.5888340003761834,0.703449774762985,0.7261059765296254,0.00011524720203624352,-0.00011649162573797396,0.3971123362389668,0.3958516622851865,9.17027597603461e-05,19408.853211009173,0.4390980187868506
202309,60s,0.6338524941243343,0.6658864528067455,0.6725280396957218,0.7065759446566605,0.0002404008807129602,-0.0002374981456304562,0.21858238490051676,0.22223231077989528,0.00010486878615186824,17620.305309734515,0.23553525150046886
202310,60s,0.6339601789370963,0.667443260185255,0.6769165604220372,0.7069784631777429,0.00028343238517192644,-0.00028157918671371573,0.20655348556307648,0.19400265793241403,0.00011252988810123924,14998.340807174887,0.20995691490772483
202311,60s,0.6301573851474953,0.6628580015830011,0.6881251727170767,0.72072283288422,0.0002442110216994179,-0.0002500286204429775,0.2191729724009495,0.20784038059277218,0.00010495233808367245,19402.995412844037,0.24151249419276177
202309,120s,0.5886732771125645,0.6287791829869339,0.6236734494368942,0.6593236216823929,0.00026172567557957333,-0.00025714010245553195,0.21610682765369682,0.2229679813467442,0.00011357704035583592,17540.402654867255,0.16722231437340734
202310,120s,0.587652974002631,0.6299083869277049,0.6285450075462146,0.6576553385115791,0.0003108322613169767,-0.0003002279462635807,0.2062671891152955,0.19290491763758696,0.00012153377303851827,14930.452914798207,0.14783398153733487
202311,120s,0.5837199711829051,0.6258608657429975,0.6377867872052868,0.6714889153791109,0.00026538041315652934,-0.0002787974200185087,0.22106599636722632,0.2046876351471373,0.00011524001470065146,19315.05504587156,0.171341079220595
202309,300s,0.5572119074981231,0.6060260003581487,0.5655251949115639,0.6089513135087113,0.00026149605345851475,-0.000269139158998238,0.2132345212424211,0.22055800512256507,0.0001143794828129565,17301.119469026547,0.10682575785443969
202310,300s,0.5543271431097049,0.6072003973232776,0.5735109944499024,0.6092406896947177,0.0003283696458563439,-0.0003179777026394118,0.2082175737912991,0.18769666414663697,0.00012714434077275486,14727.42600896861,0.09144331713257225
202311,300s,0.5519159235033616,0.6044491033906176,0.5706865130454155,0.6147272690714637,0.0002436832586800861,-0.00030205454440529694,0.23507200472829204,0.1823929777963665,0.00011061244331003865,19051.949541284404,0.10899832766233586
