month,ret_window,up_bound,down_bound,up_win_rate,down_win_rate,up_mean_ret,down_mean_ret,up_signal_rate,down_signal_rate,weighted_ret,total_sample,zero_rate
202309,15s,0.5763517630395573,0.587256577844324,0.6850099041443231,0.7157164496069043,0.00011520627468170286,-0.00011458705159294402,0.3996735252424472,0.3983199620332676,9.135796524075489e-05,17625.765486725664,0.4308652791201636
202310,15s,0.5770187854724548,0.5872460205208677,0.6850815635777375,0.7112337681528157,0.00013451154745540363,-0.00013445521441418794,0.39996006644781934,0.38683449765067157,0.00010543593693799585,15002.941704035875,0.397774220914579
202311,15s,0.5758911879398945,0.5841716200706742,0.6956289444058583,0.7243361283725346,0.0001129697199638622,-0.00011505988907147071,0.40167791313143114,0.39423763340967105,9.040266723570895e-05,19408.853211009173,0.4390980187868506
202309,60s,0.6360281591515807,0.6644659635686633,0.6685753583477859,0.7087604341213211,0.00024101156273237067,-0.00024301147790332874,0.22308053243578996,0.21175567973727638,0.00010466564788982418,17620.305309734515,0.23553525150046886
202310,60s,0.6361969747821264,0.6664000950722673,0.6738075293942556,0.7127858459292113,0.00028533793000147805,-0.00029299309880744705,0.21566329609567964,0.181511932948366,0.00011371261616159596,14998.340807174887,0.20995691490772483
202311,60s,0.632955942137388,0.661745001537637,0.6875884675776747,0.7252099287972944,0.000249421391198661,-0.00025777610236162935,0.22035996755271214,0.19692838560542145,0.0001047975571475842,19402.995412844037,0.24151249419276177
202309,120s,0.5938095592517459,0.6292567499722872,0.6209469810587449,0.6634251983046322,0.00025891774287310396,-0.00026727155426478985,0.22547874378232038,0.20445186900496243,0.00011228185886103307,17540.402654867255,0.16722231437340734
202310,120s,0.5927181972205952,0.6301531892164036,0.6246062123888401,0.6658487888802905,0.00030912311681004977,-0.0003226958144606722,0.22620142739081567,0.17297780651577654,0.00012452882535581085,14930.452914798207,0.14783398153733487
202311,120s,0.5901146407441465,0.626210490638129,0.638796212892032,0.678628254028614,0.0002741895781840069,-0.00029328355032009036,0.22366898295184792,0.18939689623223088,0.00011542840557011801,19315.05504587156,0.171341079220595
202309,300s,0.566901548583605,0.6095024484621587,0.5650812896032715,0.611334381710912,0.00024764777973380317,-0.00027220019540098267,0.22337004142034805,0.19278870398021977,0.00010525682818856713,17301.119469026547,0.10682575785443969
202310,300s,0.5651223154551522,0.6117680748986416,0.5679949906927741,0.617075578427902,0.00031348996194074735,-0.0003389421987564353,0.25058193700286246,0.14271171249897333,0.0001223398727630968,14727.42600896861,0.09144331713257225
202311,300s,0.5637299835662479,0.6082460563387599,0.5748651769836652,0.6234178217732483,0.00026236983575441205,-0.00032729239409326727,0.22889927534448262,0.17142748117183537,0.00010878085822321481,19051.949541284404,0.10899832766233586
