month,ret_window,up_bound,down_bound,up_win_rate,down_win_rate,up_mean_ret,down_mean_ret,up_signal_rate,down_signal_rate,weighted_ret,total_sample,zero_rate
202304,15s,0.5990083597980431,0.6067074332113418,0.7055006153248783,0.729893930124177,0.00018513790211769184,-0.00018853569041778022,0.3825988676819793,0.37589768196767,0.00014153829958963584,16419.513043478262,0.33473283024705025
202305,15s,0.5933407252979696,0.609012350540995,0.7091868484987207,0.7315541556870089,0.00016815670356457415,-0.00016736064587600225,0.3806959837855875,0.38384691698429557,0.00012786756863053615,16768.672413793105,0.36193753221044866
202306,15s,0.5863407785161366,0.6054688080709216,0.7122434569715075,0.7287332948273115,0.0001656834775663938,-0.00016140981261474923,0.38913117816019677,0.38473755653412073,0.00012658325896682307,17705.66956521739,0.36948543656445587
202307,15s,0.5858105257353665,0.6009993655646764,0.7181747051857816,0.7317903840154832,0.0001411874779683212,-0.000137705958655276,0.38724351342187724,0.393995365662455,0.00010872643815394484,14977.898230088496,0.41318062058891797
202308,15s,0.5897369598197073,0.6004718923370965,0.7055199209709105,0.7282003867847028,0.00015581314969971154,-0.00015664900828177316,0.3846549343414536,0.39154781034699254,0.00012073258483588084,19440.635555555556,0.3682431598722951
202309,15s,0.5894856814318471,0.6013279400193065,0.7135038985803398,0.7364999713812371,0.00012830519432636994,-0.00012617028816255707,0.3870736777770825,0.3955102329422882,9.936090966470925e-05,17625.765486725664,0.4308652791201636
202310,15s,0.5901481278522128,0.6015001626159387,0.7106285636350759,0.7301830210496442,0.00014804614700721333,-0.00014712877954017455,0.3885630002315734,0.3851744826307866,0.00011400156261511909,15002.941704035875,0.397774220914579
202311,15s,0.5881371586140797,0.5975304380587205,0.7225754909600668,0.741452311273981,0.0001248499803119161,-0.0001245837408136781,0.3883015427365804,0.39508823701074647,9.754150132780484e-05,19408.853211009173,0.4390980187868506
202304,60s,0.6606063649288226,0.6861822698859417,0.697412463826822,0.7324508793278718,0.0004238989401426882,-0.00042621194851584347,0.18520637109127047,0.1737170724892624,0.00014833107921576698,16414.534782608695,0.17299648006806942
202305,60s,0.6565437390688827,0.6890874582182437,0.69600400654993,0.7277057348062312,0.0003779010531839056,-0.0003596248254515595,0.18971803915446545,0.1972850016750893,0.00014151361824943685,16763.318965517243,0.18348357816453661
202306,60s,0.644769952352999,0.6828950097485389,0.6901228417622685,0.7162798094109099,0.0003525464264510722,-0.0003294798871303174,0.20280475936719933,0.19638102668973187,0.00013625113198320818,17700.74347826087,0.1961362677387355
202307,60s,0.6389468506859398,0.6741547620720008,0.6950475997303397,0.7183197619276757,0.0002960826616135181,-0.00028250178712973406,0.2127684633035009,0.21555540211442883,0.00012333054641179653,14973.522123893805,0.2247329553014774
202308,60s,0.6426906898214717,0.6746115935776216,0.6766223712536035,0.7103767651394709,0.00031873897757370715,-0.00031577834157662713,0.20093188474748477,0.20808062698625282,0.00012836070114008978,19435.173333333332,0.18139993130779897
