month,ret_window,up_bound,down_bound,up_win_rate,down_win_rate,up_mean_ret,down_mean_ret,up_signal_rate,down_signal_rate,weighted_ret,total_sample,zero_rate
202304,15s,0.5693122534134055,0.576858974585923,0.6585027104381603,0.6839125292704745,0.000148737694922301,-0.00015335642795545455,0.39096172582796607,0.3809760436724628,0.0001160324749150564,16061.004347826087,0.33460740716158727
202305,15s,0.5650145644341862,0.5801329897021041,0.6589859828418794,0.6854505481731876,0.00013400585940107694,-0.00013578379421354053,0.3974580242598684,0.38969175725656907,0.00010575668660121697,16820.331896551725,0.3617601830156288
202306,15s,0.5614675510092636,0.5786936424145448,0.6631370845745871,0.6796537739608339,0.00013388957251371124,-0.0001299878928717014,0.3973306773471713,0.39252281189165183,0.00010405366874090837,17760.72608695652,0.3693215258334782
202307,15s,0.5616093072361992,0.5761374832251862,0.6663458380772462,0.6807461708571207,0.00011125572000142723,-0.00010957551190003712,0.39574140425429033,0.3988445591558581,8.74855277454864e-05,15024.464601769912,0.4129629812608271
202308,15s,0.5653310958184681,0.5759811986935072,0.6587688392699514,0.6861949448190893,0.00012475577553257763,-0.00012976356916155832,0.4003638079415915,0.3929699141630052,0.00010057121232930743,19501.088888888888,0.36804477651504497
202309,15s,0.5659605122687577,0.5778021756526407,0.6643116890319167,0.6890332865177321,0.00010242738162990601,-0.00010145487668080972,0.3907967871194714,0.3985657645391782,8.030486228466318e-05,17680.2610619469,0.4306188496607879
202310,15s,0.5667837563440878,0.5783260987130725,0.6687290836845837,0.6864334077405166,0.00012282540996028828,-0.00011904491307076493,0.3878570729758346,0.3942687229745088,9.439766179759833e-05,15049.264573991031,0.3975661697941788
202311,15s,0.5665936512838147,0.5762616782103754,0.6798585692647184,0.6967433120480884,0.00010442762271788177,-0.00010128930103718448,0.37967056284840167,0.4009224800011963,8.006792421422848e-05,19468.922018348625,0.43883123164358606
202304,60s,0.6368519355408974,0.6637314380718611,0.664780417669427,0.6998049952453304,0.0003798757814364687,-0.00038957785416751824,0.1849538893950645,0.1740402801915933,0.00013521721728448896,16006.947826086956,0.17299311899082762
202305,60s,0.6334588137703081,0.6675273287996523,0.6600029414131445,0.6988863695772152,0.00033320075342202845,-0.00033196645860482154,0.20264316780721214,0.19607844450382306,0.0001315039263392409,16763.318965517243,0.18348357816453661
202306,60s,0.6234737147327084,0.6630951241617182,0.6587359531127346,0.6868989520250053,0.00031572225133629043,-0.00029958526863275086,0.2052413594234263,0.19659290370724636,0.0001233566652089367,17700.74347826087,0.1961362677387355
202307,60s,0.6190131579075528,0.6554989894502565,0.6629606403153601,0.6878942184132644,0.00026277238216485633,-0.0002573418712274305,0.2090009038083676,0.2064282230902479,0.00010755912389474106,14973.522123893805,0.2247329553014774
202308,60s,0.6230327383682538,0.6560742891708697,0.644207403957212,0.6849979654963515,0.0002783382347354609,-0.00029444772104906804,0.2132758280759136,0.20455162987909448,0.0001189638271265295,19435.173333333332,0.18139993130779897
202309,60s,0.6210216937850066,0.6539715437841416,0.6538568648929969,0.6908178187584516,0.00022681872411403847,-0.00023027719305279205,0.20296340065833338,0.20473857279110425,9.303766576610892e-05,17620.305309734515,0.23553525150046886
202310,60s,0.6206135632133132,0.6551794122905344,0.6596577699089685,0.6881488942970518,0.0002751001936889066,-0.00026906416935511214,0.19657879245351648,0.19262613007587767,0.0001057340204680844,14998.340807174887,0.20995691490772483
202311,60s,0.6179746988606609,0.6515303652306375,0.6767637370867271,0.7059306502132983,0.00024250715815465939,-0.0002440362606696704,0.19146996154892604,0.19345255868664496,9.337713575470519e-05,19402.995412844037,0.24151249419276177
202304,120s,0.6497056863230869,0.6787524523418851,0.6541430303999143,0.6890080312680965,0.000526166397764708,-0.0005421002242540392,0.0884383112822781,0.08274433310370782,8.90363111007197e-05,15935.008695652174,0.11906455996996972
202305,120s,0.6456300166532793,0.6831754683143842,0.6513231872739951,0.6892159163789148,0.0004640041271378448,-0.0004638364614882483,0.10333515893145448,0.09954588098828987,9.318957403682856e-05,16687.370689655174,0.12436254595410323
202306,120s,0.6334751774323216,0.6775566768647887,0.6516169335088043,0.6791576874932412,0.00044297762044832347,-0.00041520027098259607,0.104996524179131,0.09901107475756754,8.729905386512081e-05,17620.878260869566,0.13728066796087313
202307,120s,0.6296390129122064,0.6699198417443522,0.6508066463916642,0.6784366748397966,0.00036282622581167314,-0.00035538713212737835,0.10793765374401867,0.10684307002478759,7.67711110527489e-05,14905.548672566372,0.15866707758913665
202308,120s,0.6340596651545204,0.6704854986625781,0.6286804132555096,0.6703784175727198,0.000375727992057028,-0.00039750416372757866,0.11035158922992813,0.10794511476555488,8.402733519561715e-05,19347.297777777778,0.12356154915102116
202309,120s,0.6300692354420404,0.6679921065955843,0.64187756425609,0.678478537315924,0.0003098678839923287,-0.00031399991224146723,0.10242630157284138,0.1044650713659122,6.455955336669322e-05,17540.402654867255,0.16722231437340734
202310,120s,0.6281771765522328,0.6683559579434901,0.647232215381212,0.670596792639987,0.0003787094012960246,-0.00035573873470140223,0.09839407653877741,0.09693507482131215,7.177607781982003e-05,14930.452914798207,0.14783398153733487
