factor_name
genetic_programming_16
indus_active_buy_sell_diff_15s
indus_order_diff10_15s
genetic_programming_7
mkt_order_diff10_15s
genetic_programming_8
indus_lower_ask_amt_30s
genetic_programming_1
indus_mid_ret_30s
indus_higher_bid_amt_15s
mkt_active_buy_sell_diff_15s
genetic_programming_4
indus_close_ret_60s
indus_close_ret_15s
genetic_programming_14
indus_higher_bid_amt_60s
genetic_programming_15
mkt_close_ret_15s
limit2_30s
indus_bulk_active_buy_sell_diff_60s
limit1_15s
genetic_programming_17
genetic_programming_11
genetic_programming_32
genetic_programming_20
EMA_15s
genetic_programming_12
trade1_15s
indus_cancel_diff10_15s
genetic_programming_3
genetic_programming_36
genetic_programming_13
genetic_programming_6
mkt_net_bid_amt_delta_15s
genetic_programming_5
genetic_programming_22
bulk_buy_sell_diff_60s
genetic_programming_10
meta_60s
trade1_30s
genetic_programming_21
order_diff10_15s
genetic_programming_2
indus_net_bid_amt_delta_30s
ofl1_std_15s
genetic_programming_25
genetic_programming_26
close_versus_mid_3s
genetic_programming_30
bulk_buy_sell_diff_30s
lower_ask_amt_15s
indus_net_bid_amt_delta_15s
press_3s
higher_bid_amt_15s
bid_press_3s
slope_bid10_3s
ofl1_std_3s
close_versus_mid_15s
slope_diff3_3s
slope_diff10_3s
book_pressure_delta_15s
bulk_buy_sell_diff_15s
limit2_120s
lower_ask_amt_30s
slope_bid3_3s
genetic_programming_29
regret_60s
genetic_programming_34
fok_2s_30s
genetic_programming_24
genetic_programming_19
spread_tick_3s
fok_2s_15s
higher_bid_amt_30s
depth_im1_3s
fok_0.5s_30s
fok_2s_9s
ask1_ofl_std_3s
fok_2s_60s
fok_0.5s_60s
fok_0.5s_15s
bid1_ofl_std_3s
QR1_2_3s
fok_0.5s_9s
slope_bid3_15s
fok_0.5s_120s
EMA_std_15s
fok_2s_120s
slope_diff3_15s
close_ret_15s
genetic_programming_18
WILLR_3s
RSI_3s
depth_im2_3s
ma_mid_ret_10
book_pressure_15s
ofl1_std_min
genetic_programming_9
bid_wap_versus_mid_3s
mid_mmt_route_5_5
slope_bidh2_2min
bid_press_15s
fok_0.5s_300s
close_ret_30s
close_versus_mid_min
fok_2s_300s
ofl2_std_15s
slope_bid3_min
ask_press_3s
mkt_book_pressure_15s
depth_im1_2min
limit2_300s
genetic_programming_35
depth_im2_15s
lower_ask_amt_60s
mid_mmt_route_10_10
bulk_active_buy_sell_diff_15s
depth_im1_5min
bid1_order_dst_2min
indus_book_pressure_15s
slope_bid3_5min
slope_ask3_3s
bid1_order_dst_5min
ask1_order_dst_min
slope_askh2_3s
press_15s
ask_press_2min
higher_bid_amt_60s
bid2_ofl_std_5min
genetic_programming_27
genetic_programming_23
ask_wap_versus_mid_3s
slope_diff3_min
cancel_diff10_15s
bulk_active_buy_sell_diff_30s
trade1_120s
slope_diff10_5min
ask2_ofl_std_5min
ask1_order_dst_5min
ma_mid_ret_2
net_bid_amt_delta_15s
net_bid_amt_delta_30s
QR1_2_2min
ask_wap_versus_mid_2min
slope_ask3_5min
bid_press_2min
ask2_ofl_std_min
ask1_order_dst_15s
bid1_order_dst_15s
ofl1_std_2min
slope_ask3_15s
bid1_order_dst_3s
depth_im2_min
ofl2_std_3s
indus_book_pressure_delta_15s
ask1_order_dst_3s
spread_tick_5min
net_bid_amt_delta_60s
slope_diff3_5min
bid_wap_versus_mid_2min
WILLR_min
skew_15
trade1_300s
depth_im1_15s
slope_ask10_2min
skew_120
slope_ask3_min
WILLR_5min
mid_ret_15s
ask_press_15s
bulk_active_buy_sell_diff_60s
mid_ret_skew_10
close_versus_mid_5min
depth_im2_5min
mid_ret_30s
skew_60
regret_300s
